19      (-1, -1) 
-1      (6, 0) 
14      (-1, -1) 
19      (-1, -1) 
-1      (7, 0) 
14      (-1, -1) 
19      (-1, -1) 
-1      (8, 0) 
14      (-1, -1) 
-1      (6, 0) 
11      (-1, -1) 
-2      (11, 0) 
14      (-1, -1) 
-1      (7, 0) 
11      (-1, -1) 
-2      (1, 0) 
14      (-1, -1) 
-1      (8, 0) 
11      (-1, -1) 
-2      (9, 0) 
14      (-1, -1) 
24      (-1, -1) 
12      (-1, -1) 
-1      (6, 0) 
7      (-1, -1) 
-1      (7, 0) 
14      (-1, -1) 
21      (-1, -1) 
17      (-1, -1) 
-1      (7, 0) 
2      (-1, -1) 
-1      (6, 0) 
18      (-1, -1) 
15      (-1, -1) 
-1      (7, 0) 
11      (-1, -1) 
-1      (7, 0) 
7      (-1, -1) 
-1      (6, 0) 
14      (-1, -1) 
-1      (8, 0) 
11      (-1, -1) 
-1      (8, 0) 
6      (-1, -1) 
-2      (10, 0) 
14      (-1, -1) 
16      (-1, -1) 
24      (-1, -1) 
12      (-1, -1) 
-2      (10, 1) 
6      (-1, -1) 
-1      (8, 0) 
6      (-1, -1) 
-2      (1, 1) 
14      (-1, -1) 
